video_id,start,end,query
senshi_001,177.3,199.6,"The nurse palpates the patient’s wrist while simultaneously observing it to assess blood flow."
senshi_001,275.4,281.7,"The nurse disinfects her hands with an alcohol-based sanitizer before performing the procedure."
senshi_001,288.7,304.7,"The nurse dons a protective apron prior to the procedure."
senshi_001,304.8,313.8,"The nurse puts on gloves before performing the procedure."
senshi_001,381.0,390.3,"The nurse disinfects the skin at the wrist puncture site using an antiseptic wipe."
senshi_001,395.0,436.5,"The nurse inserts a needle into the wrist."
senshi_001,431.0,457.0,"After needle insertion, the nurse applies temporary pressure to the puncture site."
senshi_001,452.8,474.7,"The nurse applies a hemostatic pad to the puncture site."
senshi_001,513.7,518.1,"After the procedure, the nurse removes the gloves and discards them."
senshi_001,517.8,519.7,"The nurse removes the face shield."
senshi_001,519.0,537.7,"After the procedure, the nurse doffs the disposable apron and discards it."
senshi_002,109.2,116.2,"The nurse disinfects his hands with an alcohol-based sanitizer before performing the procedure."
senshi_002,116.0,124.8,"The nurse puts on gloves before performing the procedure."
senshi_002,234.4,247.5,"The nurse disinfects the skin at the wrist puncture site using two antiseptic wipe."
senshi_002,272.1,309.0,"The nurse inserts a needle into the wrist."
senshi_002,305.2,332.0,"After needle insertion, the nurse applies temporary pressure to the puncture site."
senshi_002,338.1,366.0,"The nurse secures the hemostatic pad with adhesive tape."
senshi_002,442.1,446.3,"After the procedure, the nurse removes the gloves."
senshi_002,446.4,453.0,"After the procedure, the nurse disinfects his hands with an alcohol-based sanitizer."
senshi_003,173.4,181.5,"The nurse disinfects her hands with an alcohol-based sanitizer before performing the procedure."
senshi_003,223.7,230.4,"Before the procedure, the nurse performs hand hygiene using an alcohol-based hand sanitizer."
senshi_003,252.6,268.7,"The nurse dons a disposable apron prior to the procedure."
senshi_003,269.0,272.7,"Before the procedure, the nurse puts on a face shield."
senshi_003,272.9,276.7,"As part of the pre-procedure preparation, the nurse performs hand hygiene."
senshi_003,276.8,290.4,"Before the procedure, the nurse puts on gloves."
senshi_003,323.6,358.4,"To prepare for puncture, the nurse stabilizes the patient’s hand on a support using tape."
senshi_003,358.1,365.3,"The nurse disinfects the skin at the puncture site as part of puncture preparation."
senshi_003,365.1,372.7,"The nurse picks up a syringe and removes the cap from the needle to prepare it for injection."
senshi_003,380.7,390.5,"The nurse administers local anesthesia at the patient’s puncture site."
senshi_003,410.3,425.7,"The nurse holds the syringe and removes the cap from the needle."
senshi_003,436.2,474.4,"The nurse inserts the needle into the patient’s vein to draw blood."
senshi_003,466.3,523.9,"After needle insertion, the nurse applies temporary pressure to the puncture site."
senshi_003,523.5,545.3,"The nurse applies adhesive tape to apply pressure to the puncture site."
senshi_003,570.1,579.5,"After the procedure, the nurse removes the gloves."
senshi_003,579.5,591.0,"After the procedure, the nurse removes the apron."
senshi_003,591.0,602.0,"The nurse removes the face shield with an attached mask."
senshi_004,184.6,189.6,"Before starting the procedure, the nurse performs hand hygiene."
